

name,technology,composition,price,manufacturer,website,color,opacity,tags,diameter,filament_extrusion_to_flow_multiplier,temp_extrude_default,temp_extrude_min,temp_extrude_max,bed_temp,min_nozzle_diameter,extruder_fan_speed,weight,bed_material,buy_now
"ABS Premium 3mm Natural","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","2.85","1","230","200","250","110","","0","1Kg of ABS Premium 3mm Natural","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568224-abs-premium-3mm-natural",
"ABS Premium 3mm Apple Green","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","2.85","1","230","200","250","110","","0","1Kg of ABS Premium 3mm Apple Green","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568225-abs-premium-3mm-apple-green",
"ABS Premium 3mm Gold","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","2.85","1","230","200","250","110","","0","1Kg of ABS Premium 3mm Gold","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568226-abs-premium-3mm-gold",
"ABS Premium 3mm Orange","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","2.85","1","230","200","250","110","","0","1Kg of ABS Premium 3mm Orange","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568227-abs-premium-3mm-orange",
"ABS Premium 3mm Purple","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","2.85","1","230","200","250","110","","0","1Kg of ABS Premium 3mm Purple","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568228-abs-premium-3mm-purple",
"ABS Premium 3mm Light Blue","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","2.85","1","230","200","250","110","","0","1Kg of ABS Premium 3mm Light Blue","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568229-abs-premium-3mm-light-blue",
"ABS Premium 3mm Pink","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","2.85","1","230","200","250","110","","0","1Kg of ABS Premium 3mm Pink","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568230-abs-premium-3mm-pink",
"ABS Premium 3mm Black","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","2.85","1","230","200","250","110","","0","1Kg of ABS Premium 3mm Black","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568231-abs-premium-3mm-black",
"ABS Premium 3mm White","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","2.85","1","230","200","250","110","","0","1Kg of ABS Premium 3mm White","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568232-abs-premium-3mm-white",
"ABS Premium 3mm Grey","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","2.85","1","230","200","250","110","","0","1Kg of ABS Premium 3mm Grey","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568373-abs-premium-3mm-grey",
"ABS Premium 3mm Yellow","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","2.85","1","230","200","250","110","","0","1Kg of ABS Premium 3mm Yellow","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568385-abs-premium-3mm-yellow",
"ABS Premium 3mm Silver","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","2.85","1","230","200","250","110","","0","1Kg of ABS Premium 3mm Silver","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568392-abs-premium-3mm-silver",
"ABS Premium 3mm Dark BLue","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","2.85","1","230","200","250","110","","0","1Kg of ABS Premium 3mm Dark Blue","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568393-abs-premium-3mm-dark-blue",
"PLA Premium 1.75mm Orange","FDM","PLA","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","200","190","210","60","","255","1Kg of PLA Premium 1.75mm Orange","blue tape, glass, glue stick","http://www.reprap-3d-printer.com/product/1234568245-pla-premium-1-75mm-orange",
"PLA Premium 1.75mm Purple","FDM","PLA","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","200","190","210","60","","255","1Kg of PLA Premium 1.75mm Purple","blue tape, glass, glue stick","http://www.reprap-3d-printer.com/product/1234568246-pla-premium-1-75mm-purple",
